index,name,url,phone,rating,address,latitude,longitude
0,Baretto Caffe,https://www.yelp.com/biz/baretto-caffe-toronto-4?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14163850003,5.0,1262 Don Mills Road,43.74471,-79.34643
1,El Nahual,https://www.yelp.com/biz/el-nahual-york-6?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14164106012,5.0,1993 Keele Street,43.6907043,-79.4737446
2,Alo Restaurant,https://www.yelp.com/biz/alo-restaurant-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14162602222,4.5,163 Spadina Avenue,43.64851,-79.39584
3,Blaze Fast-Fire'd Pizza,https://www.yelp.com/biz/blaze-fast-fired-pizza-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16479331028,4.5,10 Dundas Street East,43.6565313336776,-79.3800427473602
4,Yasu,https://www.yelp.com/biz/yasu-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14164772361,4.5,81 Harbord Street,43.6627268440129,-79.4032790460321
5,Jacobs & Co. Steakhouse,https://www.yelp.com/biz/jacobs-and-co-steakhouse-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14163660200,4.5,12 Brant Street,43.6454,-79.39811
6,Richmond Station,https://www.yelp.com/biz/richmond-station-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16477481444,4.5,1 Richmond Street W,43.6513729,-79.379285
7,Mystic Muffin,https://www.yelp.com/biz/mystic-muffin-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169411474,4.5,113 Jarvis Street,43.652457948594,-79.372548881465
8,Byblos,https://www.yelp.com/biz/byblos-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16476600909,4.5,11 Duncan Street,43.647546,-79.388123
9,Seven Lives Tacos Y Mariscos,https://www.yelp.com/biz/seven-lives-tacos-y-mariscos-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14163934636,4.5,69 Kensington Avenue,43.6543411559068,-79.4004796072841
10,Veghed,https://www.yelp.com/biz/veghed-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14168416673,5.0,1199 Dundas Street W,43.6492004,-79.4224167
11,Scaramouche Restaurant Pasta Bar & Grill,https://www.yelp.com/biz/scaramouche-restaurant-pasta-bar-and-grill-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169618011,4.5,1 Benvenuto Place,43.68155,-79.39991
12,Pai Northern Thai Kitchen,https://www.yelp.com/biz/pai-northern-thai-kitchen-toronto-5?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169014724,4.5,18 Duncan Street,43.647866,-79.3886415
13,Agio,https://www.yelp.com/biz/agio-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473484814,4.5,1351 St Clair Avenue W,43.67599,-79.45066
14,Her Father's Cider Bar & Kitchen,https://www.yelp.com/biz/her-fathers-cider-bar-and-kitchen-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473477747,4.5,119 Harbord Street,43.66232,-79.40453
15,Adamson Barbecue,https://www.yelp.com/biz/adamson-barbecue-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16475592080,4.5,176 Wicksteed Avenue,43.71251,-79.35309
16,Riddle Room,https://www.yelp.com/biz/riddle-room-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473442637,4.5,579 Yonge Street,43.6657555,-79.3847049
17,Banh Mi Boys,https://www.yelp.com/biz/banh-mi-boys-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14163630588,4.5,392 Queen Street W,43.64884,-79.39695
18,A-Game Cafe,https://www.yelp.com/biz/a-game-cafe-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169714263,4.5,797 Dundas Street W,43.6517185,-79.4079115
19,Veggie D'Light,https://www.yelp.com/biz/veggie-d-light-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473527581,4.5,160 Baldwin Street,43.65513,-79.39997
20,Salus Fresh Foods,https://www.yelp.com/biz/salus-fresh-foods-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165931515,5.0,25 Carlton Street,43.66115,-79.38159
21,Descendant Detroit Style Pizza,https://www.yelp.com/biz/descendant-detroit-style-pizza-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473471168,4.5,1168 Queen Street E,43.6627782074977,-79.332169532679
22,Café Polonez,https://www.yelp.com/biz/caf%C3%A9-polonez-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165328432,4.5,195 Roncesvalles Avenue,43.64514,-79.44831
23,Fresco's Fish & Chips,https://www.yelp.com/biz/frescos-fish-and-chips-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165464557,4.5,201 Augusta Avenue,43.6538341,-79.4015484
24,Tibet Kitchen,https://www.yelp.com/biz/tibet-kitchen-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169138726,4.5,1544 Queen Street W,43.64017,-79.4396299
25,Rasa,https://www.yelp.com/biz/rasa-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473508221,4.5,196 Robert Street,43.6627752,-79.4039682
26,Ramen Isshin,https://www.yelp.com/biz/ramen-isshin-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14163674013,4.5,421 College Street,43.65634,-79.40689
27,Boralia,https://www.yelp.com/biz/boralia-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473515100,4.5,59 Ossington Avenue,43.64555,-79.4191
28,Takht-e Tavoos,https://www.yelp.com/biz/takht-e-tavoos-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473527322,4.5,1120 College Street,43.6524676,-79.4329894
29,Crepe TO,https://www.yelp.com/biz/crepe-to-toronto-3?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473525286,4.5,52 Church Street,43.6500840012792,-79.374513477087
30,Antler Kitchen & Bar,https://www.yelp.com/biz/antler-kitchen-and-bar-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473458300,4.5,1454 Dundas Street W,43.64985,-79.43059
31,Katsuya,https://www.yelp.com/biz/katsuya-toronto-5?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165917756,4.5,66 Gerrard Street E,43.65995,-79.37882
32,Pow Wow Cafe,https://www.yelp.com/biz/pow-wow-cafe-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165517717,4.5,213 Augusta Avenue,43.65412,-79.40151
33,George,https://www.yelp.com/biz/george-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14168636006,4.5,111 Queen Street E,43.65323,-79.37446
34,Black Camel,https://www.yelp.com/biz/black-camel-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169297518,4.5,4 Crescent Road,43.677122232751,-79.389209714264
35,KINKA IZAKAYA ORIGINAL,https://www.yelp.com/biz/kinka-izakaya-original-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169770999,4.0,398 Church St,43.6604,-79.37896
36,Ravi Soups,https://www.yelp.com/biz/ravi-soups-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16474358365,4.5,322 Adelaide Street W,43.6477,-79.39201
37,Miku,https://www.yelp.com/biz/miku-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473477347,4.0,105-10 Bay Street,43.6412346,-79.3773697
38,COO Café Bread or Rice,https://www.yelp.com/biz/coo-caf%C3%A9-bread-or-rice-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473515166,4.5,1049 Bloor Street W,43.6604974734537,-79.4319278374314
39,Nuit Social,https://www.yelp.com/biz/nuit-social-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473506848,4.5,1168 Queen Street W,43.64303,-79.42542
40,Shawarma Empire,https://www.yelp.com/biz/shawarma-empire-scarborough?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14162851337,4.5,1823 Lawrence Ave E,43.74322,-79.30347
41,Beach Hill Smokehouse,https://www.yelp.com/biz/beach-hill-smokehouse-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14167928275,4.5,172 Main Street S,43.68409,-79.3005
42,JaBistro,https://www.yelp.com/biz/jabistro-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16477480222,4.0,222 Richmond Street W,43.64989,-79.38821
43,Schnitzel Queen,https://www.yelp.com/biz/schnitzel-queen-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165041311,4.5,211 Queen Street E,43.6541,-79.37043
44,Rise & Dine Eatery,https://www.yelp.com/biz/rise-and-dine-eatery-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169010955,5.0,2714 St. Clair Avenue E,43.705754282072,-79.31163419464
45,The Olde Yorke,https://www.yelp.com/biz/the-olde-yorke-east-york?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14166969670,4.5,96 Laird Drive,43.70619,-79.36218
46,The Elm Tree Restaurant,https://www.yelp.com/biz/the-elm-tree-restaurant-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169017339,4.5,43 Elm Street,43.6572873032448,-79.3836965529587
47,Pearl Diver,https://www.yelp.com/biz/pearl-diver-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14163667827,4.0,100 Adelaide Street E,43.65163,-79.37375
48,Canoe,https://www.yelp.com/biz/canoe-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14163640054,4.0,66 Wellington Street  W,43.646954,-79.382159
49,Completo,https://www.yelp.com/biz/completo-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14169019233,4.5,5 Coady Avenue,43.6626328,-79.3340575
50,Emma's Country Kitchen,https://www.yelp.com/biz/emmas-country-kitchen-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14166523662,4.0,810 Saint Clair Avenue W,43.68103,-79.4303599
51,Le Baratin,https://www.yelp.com/biz/le-baratin-toronto-5?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165348800,4.5,1600 Dundas Street. W,43.65007,-79.4351
52,Sugo,https://www.yelp.com/biz/sugo-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165351717,4.5,1279 Bloor Street  W,43.65831,-79.44223
53,Sansotei Ramen,https://www.yelp.com/biz/sansotei-ramen-toronto-2?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16477483833,4.0,179 Dundas Street W,43.655,-79.38643
54,Bar Isabel,https://www.yelp.com/biz/bar-isabel-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165322222,4.0,797 College Street,43.65463,-79.42075
55,Hodo Kwaja,https://www.yelp.com/biz/hodo-kwaja-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14165381208,4.5,656 Bloor Street W,43.66438,-79.41557
56,Almond Butterfly Cafe & Bakeshop,https://www.yelp.com/biz/almond-butterfly-cafe-and-bakeshop-toronto-3?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+14167927994,4.5,100 Harbord Street,43.6629326,-79.4033968
57,Loga's Corner,https://www.yelp.com/biz/logas-corner-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16477610965,4.5,216C Close Avenue,43.64053,-79.43597
58,Salad Days,https://www.yelp.com/biz/salad-days-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16474369472,4.5,Cumberland Terrace,43.6704,-79.38719
59,Tofu Village - House of Soon Tofu,https://www.yelp.com/biz/tofu-village-house-of-soon-tofu-toronto?adjust_creative=spvetQ5ChE2Vchv9ViKcWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=spvetQ5ChE2Vchv9ViKcWw,+16473453836,4.5,681 Bloor Street W,43.66371,-79.4165699
